Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,20-07-20 19:35,-25,133,12070,123,8395,3552,47.40825697,,,1.01905551,36,AUS
Austria,20-07-20 19:35,47.5162,14.5501,19743,711,17659,1373,219.2107834,,,3.601276402,40,AUT
Canada,20-07-20 19:35,60.001,-95.001,112418,8899,98762,4758,296.9645101,,,7.915992101,124,CAN
China,20-07-20 19:35,30.5928,114.3055,85314,4644,80018,652,6.073569987,,,5.443420775,156,CHN
Denmark,20-07-20 19:35,56.2639,9.5018,13466,611,12452,403,232.4849457,,,4.537353334,208,DNK
Finland,20-07-20 19:35,61.9241,25.7482,7340,328,6880,132,132.4738057,,,4.46866485,246,FIN
France,20-07-20 19:35,46.2276,2.2137,214023,30180,79668,104175,327.886448,,,14.10128818,250,FRA
Germany,20-07-20 19:35,51.165691,10.451526,203325,9094,188070,6161,242.6777588,,,4.472642321,276,DEU
Iceland,20-07-20 19:35,64.9631,-19.0208,1930,10,1907,13,565.5677656,,,0.518134715,352,ISL
Ireland,20-07-20 19:35,53.1424,-7.6921,25766,1753,23364,649,521.8117557,,,6.803539548,372,IRL
Italy,20-07-20 19:35,41.8719,12.5674,244624,35058,197162,12404,404.5924645,,,14.33138204,380,ITA
Netherlands,20-07-20 19:35,52.3167,5.55,52142,6155,194,45793,304.3033934,,,11.80430363,528,NLD
Norway,20-07-20 19:35,60.472,8.4689,9034,255,8138,641,166.6407808,,,2.822669914,578,NOR
Russia,20-07-20 19:35,61.524,105.3188,776212,12408,552644,211160,531.8908228,,,1.59853236,643,RUS
Sweden,20-07-20 19:35,60.1282,18.6435,78048,5639,,72409,772.8083317,,,7.225041,752,SWE
Switzerland,20-07-20 19:35,46.8182,8.2275,33634,1971,30300,1363,388.6248937,,,5.860141523,756,CHE
United Kingdom,20-07-20 19:35,55,-3,296944,45397,1413,250134,437.4156417,,,15.28806778,826,GBR
US,20-07-20 19:35,40,-100,3804907,140811,1131121,2573005,1154.86992,,,3.700773764,840,USA
Spain,20-07-20 19:35,40.463667,-3.74922,264836,28422,150376,86038,566.4361655,,,10.73192466,724,ESP
Mexico,20-07-20 19:35,23.6345,-102.5528,349396,39485,259812,50099,273.4093042,,,11.30093075,484,MEX
Chile,20-07-20 19:35,-35.6751,-71.543,330930,8503,301794,20633,1731.148681,,,2.569425558,152,CHL
Brazil,20-07-20 19:35,-14.235,-51.9253,2098389,79488,1489635,529266,987.2011829,,,3.788048832,76,BRA
Peru,20-07-20 19:35,-9.19,-75.0152,369429,13957,241955,113517,1120.437721,,,3.777992524,604,PER
Colombia,20-07-20 19:35,4.5709,-74.2973,197278,6736,91793,98749,387.7099419,,,3.41447095,170,COL
Japan,20-07-20 19:35,36.204824,138.252924,25694,988,19603,5104,20.31524317,,,3.845255702,392,JPN
Ukraine,20-07-20 19:35,48.3794,31.1656,60767,1517,32397,26853,138.9475805,,,2.496420755,804,UKR
India,20-07-20 19:35,20.593684,78.96288,1118206,27497,700087,390622,81.02916282,,,2.459028122,356,IND
Pakistan,20-07-20 19:35,30.3753,69.3451,265083,5599,205929,53555,120.0055243,,,2.112168642,586,PAK
